id,name,brand,category,price,old_price,currency,color,sizes,gender,url,image,in_stock,image_kind,style_fields,parsed_at
491511344,Ботфорты женские зимние натуральная кожа,O`SHADE,одежда,5294,,RUB,черный,,женский,https://www.wildberries.ru/catalog/491511344/detail.aspx,https://basket-27.wbbasket.ru/vol4915/part491511/491511344/images/big/1.webp,true,model,classic drama,2026-07-16
776426694,Сапоги трубы женские демисезонные,O`SHADE,обувь,3729,,RUB,черный,,женский,https://www.wildberries.ru/catalog/776426694/detail.aspx,https://basket-36.wbbasket.ru/vol7764/part776426/776426694/images/big/1.webp,true,model,classic drama,2026-07-16
708344264,Сапоги зимние,Love Trendy,обувь,3477,,RUB,черный,,женский,https://www.wildberries.ru/catalog/708344264/detail.aspx,https://basket-34.wbbasket.ru/vol7083/part708344/708344264/images/big/1.webp,true,model,classic drama,2026-07-16
725354058,Сапоги осенние женские натуральная кожа,O`SHADE,обувь,4571,,RUB,черный,,женский,https://www.wildberries.ru/catalog/725354058/detail.aspx,https://basket-34.wbbasket.ru/vol7253/part725354/725354058/images/big/1.webp,true,model,classic drama,2026-07-16
1232676026,Туфли женские лодочки черные,Nexude,обувь,3652,,RUB,черный,,женский,https://www.wildberries.ru/catalog/1232676026/detail.aspx,https://basket-44.wbbasket.ru/vol12326/part1232676/1232676026/images/big/1.webp,true,model,classic,2026-07-16
287905133,Кожаные туфли лодочки на каблуке,Obba,обувь,2775,,RUB,черный,,женский,https://www.wildberries.ru/catalog/287905133/detail.aspx,https://basket-18.wbbasket.ru/vol2879/part287905/287905133/images/big/1.webp,true,model,classic,2026-07-16
777870171,Туфли лодочка на каблуке,,обувь,1954,,RUB,черный,,женский,https://www.wildberries.ru/catalog/777870171/detail.aspx,https://basket-36.wbbasket.ru/vol7778/part777870/777870171/images/big/1.webp,true,model,classic,2026-07-16
229653864,Туфли лодочки на шпильке вечерние классические,SEMIDALI,обувь,1760,,RUB,черный,,женский,https://www.wildberries.ru/catalog/229653864/detail.aspx,https://basket-15.wbbasket.ru/vol2296/part229653/229653864/images/big/1.webp,true,model,classic,2026-07-16
834043710,туфли,,обувь,2933,,RUB,черный,,женский,https://www.wildberries.ru/catalog/834043710/detail.aspx,https://basket-38.wbbasket.ru/vol8340/part834043/834043710/images/big/1.webp,true,packshot,classic,2026-07-16
757983677,Туфли лодочки из натуральной кожи черные на каблуке рюмка,Kari,обувь,2063,,RUB,черный,,женский,https://www.wildberries.ru/catalog/757983677/detail.aspx,https://basket-35.wbbasket.ru/vol7579/part757983/757983677/images/big/1.webp,true,model,classic,2026-07-16
810039049,Туфли лодочки женские на каблуке,KRAUS Collection,обувь,2122,,RUB,черный,,женский,https://www.wildberries.ru/catalog/810039049/detail.aspx,https://basket-37.wbbasket.ru/vol8100/part810039/810039049/images/big/1.webp,true,model,classic,2026-07-16
473266743,Туфли лодочки на каблуке,22hangers,обувь,2476,,RUB,черный,,женский,https://www.wildberries.ru/catalog/473266743/detail.aspx,https://basket-26.wbbasket.ru/vol4732/part473266/473266743/images/big/1.webp,true,model,classic,2026-07-16
324859963,Туфли из натуральной кожи на низком каблуке лодочки,BADEN,обувь,2374,,RUB,черный,,женский,https://www.wildberries.ru/catalog/324859963/detail.aspx,https://basket-19.wbbasket.ru/vol3248/part324859/324859963/images/big/1.webp,true,model,classic,2026-07-16
235941519,Кожаные туфли на каблуке,BADEN,обувь,3295,,RUB,черный,,женский,https://www.wildberries.ru/catalog/235941519/detail.aspx,https://basket-15.wbbasket.ru/vol2359/part235941/235941519/images/big/1.webp,true,model,classic,2026-07-16
954788314,Туфли лодочки лаковые шпильке,TATEMEI,обувь,2052,,RUB,черный,,женский,https://www.wildberries.ru/catalog/954788314/detail.aspx,https://basket-40.wbbasket.ru/vol9547/part954788/954788314/images/big/1.webp,true,model,classic,2026-07-16
730740673,Туфли женские черные на каблуке,KLAVIER,обувь,1650,,RUB,черный,,женский,https://www.wildberries.ru/catalog/730740673/detail.aspx,https://basket-34.wbbasket.ru/vol7307/part730740/730740673/images/big/1.webp,true,model,classic,2026-07-16
268293421,Туфли,Barolina shoes,обувь,1747,,RUB,черный,,женский,https://www.wildberries.ru/catalog/268293421/detail.aspx,https://basket-17.wbbasket.ru/vol2682/part268293/268293421/images/big/1.webp,true,model,classic,2026-07-16
488837180,Вечерние туфли на каблуке шпильке черные кожаные,MISS MARISA,обувь,3079,,RUB,черный,,женский,https://www.wildberries.ru/catalog/488837180/detail.aspx,https://basket-27.wbbasket.ru/vol4888/part488837/488837180/images/big/1.webp,true,model,classic,2026-07-16
451192322,Кроссовки босоногая обувь с широким носом дышащие кеды,RIFMA,обувь,3478,,RUB,серый,,женский,https://www.wildberries.ru/catalog/451192322/detail.aspx,https://basket-25.wbbasket.ru/vol4511/part451192/451192322/images/big/1.webp,true,packshot,natural,2026-07-16
255365184,Кроссовки белые,LA-shoes,обувь,1689,,RUB,белый,,женский,https://www.wildberries.ru/catalog/255365184/detail.aspx,https://basket-16.wbbasket.ru/vol2553/part255365/255365184/images/big/1.webp,true,model,natural,2026-07-16
778497446,Кроссовки Air Force 1 форсы,Nike,обувь,2836,,RUB,белый,,женский,https://www.wildberries.ru/catalog/778497446/detail.aspx,https://basket-36.wbbasket.ru/vol7784/part778497/778497446/images/big/1.webp,true,model,natural,2026-07-16
826486009,Кроссовки Air Force 1 форсы,Nike,обувь,2836,,RUB,серый,,женский,https://www.wildberries.ru/catalog/826486009/detail.aspx,https://basket-37.wbbasket.ru/vol8264/part826486/826486009/images/big/1.webp,true,model,natural,2026-07-16
884786983,Кроссовки спортивные с сеткой летние,,обувь,2547,,RUB,белый,,женский,https://www.wildberries.ru/catalog/884786983/detail.aspx,https://basket-39.wbbasket.ru/vol8847/part884786/884786983/images/big/1.webp,true,model,natural,2026-07-16
486346653,Кроссовки женские Samba Spezial,adidas,обувь,2871,,RUB,белый,,женский,https://www.wildberries.ru/catalog/486346653/detail.aspx,https://basket-26.wbbasket.ru/vol4863/part486346/486346653/images/big/1.webp,true,packshot,natural,2026-07-16
786385960,Кроссовки спортивные на платформе,JustDream,обувь,2709,,RUB,белый,,женский,https://www.wildberries.ru/catalog/786385960/detail.aspx,https://basket-36.wbbasket.ru/vol7863/part786385/786385960/images/big/1.webp,true,model,natural,2026-07-16
355303523,Кроссовки женские дышащие для фитнеса,STARRIER,обувь,1537,,RUB,черный,,женский,https://www.wildberries.ru/catalog/355303523/detail.aspx,https://basket-21.wbbasket.ru/vol3553/part355303/355303523/images/big/1.webp,true,model,natural,2026-07-16
61066551,Кроссовки Изики,Krosmarket,обувь,1532,,RUB,белый,,женский,https://www.wildberries.ru/catalog/61066551/detail.aspx,https://basket-04.wbbasket.ru/vol610/part61066/61066551/images/big/1.webp,true,model,natural,2026-07-16
926854795,Кроссовки Suede,Нет бренда,обувь,3275,,RUB,белый,,женский,https://www.wildberries.ru/catalog/926854795/detail.aspx,https://basket-40.wbbasket.ru/vol9268/part926854/926854795/images/big/1.webp,true,packshot,natural,2026-07-16
182335211,Кроссовки спортивные,adidas,обувь,2977,,RUB,белый,,женский,https://www.wildberries.ru/catalog/182335211/detail.aspx,https://basket-12.wbbasket.ru/vol1823/part182335/182335211/images/big/1.webp,true,packshot,natural,2026-07-16
778497448,Кроссовки Air Force 1 форсы,Nike,обувь,2836,,RUB,серый,,женский,https://www.wildberries.ru/catalog/778497448/detail.aspx,https://basket-36.wbbasket.ru/vol7784/part778497/778497448/images/big/1.webp,true,packshot,natural,2026-07-16
868405566,Кроссовки женские на платформе белые повседневные,PARIS BACIO,обувь,1857,,RUB,белый,,женский,https://www.wildberries.ru/catalog/868405566/detail.aspx,https://basket-38.wbbasket.ru/vol8684/part868405/868405566/images/big/1.webp,true,model,natural,2026-07-16
722896934,Кроссовки босоногая обувь с широким носом дышащие кеды,RIFMA,обувь,3861,,RUB,белый,,женский,https://www.wildberries.ru/catalog/722896934/detail.aspx,https://basket-34.wbbasket.ru/vol7228/part722896/722896934/images/big/1.webp,true,packshot,natural,2026-07-16
